[I 2026-03-10 23:00:29,035] A new study created in RDB with name: respeaker_v3_ssz
[I 2026-03-10 23:18:32,247] Trial 25 finished with value: 0.4143912728585386 and parameters: {'window_ms': 165, 'overlap': 0.9, 'freq_low_hz': 950, 'freq_high_hz': 3100, 'epsilon': 0.2643785535209153, 'd_freq': 13}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:21:46,792] Trial 27 finished with value: 0.44066838255346436 and parameters: {'window_ms': 80, 'overlap': 0.45, 'freq_low_hz': 950, 'freq_high_hz': 3500, 'epsilon': 0.23822982205309434, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:21:57,367] Trial 26 finished with value: 0.44079634890362623 and parameters: {'window_ms': 80, 'overlap': 0.45, 'freq_low_hz': 950, 'freq_high_hz': 3800, 'epsilon': 0.15566584735420202, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:22:38,622] Trial 16 finished with value: 0.43380070988862596 and parameters: {'window_ms': 80, 'overlap': 0.9, 'freq_low_hz': 1200, 'freq_high_hz': 4000, 'epsilon': 0.22511728778006876, 'd_freq': 2}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:22:58,193] Trial 30 finished with value: 0.42147405711150937 and parameters: {'window_ms': 250, 'overlap': 0.35, 'freq_low_hz': 1000, 'freq_high_hz': 2700, 'epsilon': 0.3204529287812298, 'd_freq': 4}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:23:32,182] Trial 29 finished with value: 0.4154737449591076 and parameters: {'window_ms': 250, 'overlap': 0.5, 'freq_low_hz': 750, 'freq_high_hz': 3500, 'epsilon': 0.3123023878538097, 'd_freq': 4}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:23:36,012] Trial 31 finished with value: 0.42147405711150937 and parameters: {'window_ms': 250, 'overlap': 0.35, 'freq_low_hz': 1000, 'freq_high_hz': 2700, 'epsilon': 0.3074521717923927, 'd_freq': 4}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:24:07,291] Trial 34 finished with value: 0.4119365511799086 and parameters: {'window_ms': 105, 'overlap': 0.5, 'freq_low_hz': 750, 'freq_high_hz': 1600, 'epsilon': 0.07117605097896017, 'd_freq': 10}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:24:12,264] Trial 33 finished with value: 0.4245982250829 and parameters: {'window_ms': 110, 'overlap': 0.8, 'freq_low_hz': 950, 'freq_high_hz': 1500, 'epsilon': 0.148803770415874, 'd_freq': 10}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:24:33,945] Trial 32 finished with value: 0.41513198958402536 and parameters: {'window_ms': 110, 'overlap': 0.5, 'freq_low_hz': 750, 'freq_high_hz': 3400, 'epsilon': 0.1428050018527514, 'd_freq': 4}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:24:36,884] Trial 28 finished with value: 0.4410246090041309 and parameters: {'window_ms': 85, 'overlap': 0.5, 'freq_low_hz': 750, 'freq_high_hz': 3600, 'epsilon': 0.1612806426666495, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:26:30,997] Trial 35 finished with value: 0.40588384591047416 and parameters: {'window_ms': 15, 'overlap': 0.8, 'freq_low_hz': 300, 'freq_high_hz': 5800, 'epsilon': 0.14720940151653034, 'd_freq': 14}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:28:22,932] Trial 15 finished with value: 0.426900059384715 and parameters: {'window_ms': 10, 'overlap': 0.8500000000000001, 'freq_low_hz': 1200, 'freq_high_hz': 4300, 'epsilon': 0.021769774624830596, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:29:33,384] Trial 36 finished with value: 0.4373729804479733 and parameters: {'window_ms': 60, 'overlap': 0.45, 'freq_low_hz': 700, 'freq_high_hz': 3400, 'epsilon': 0.22946903052048762, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:30:17,562] Trial 40 finished with value: 0.4215811380367825 and parameters: {'window_ms': 95, 'overlap': 0.55, 'freq_low_hz': 1100, 'freq_high_hz': 3200, 'epsilon': 0.24566885016648693, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:30:26,167] Trial 37 finished with value: 0.4370891210389212 and parameters: {'window_ms': 15, 'overlap': 0.45, 'freq_low_hz': 1100, 'freq_high_hz': 4100, 'epsilon': 0.23937809416137956, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:31:08,228] Trial 38 finished with value: 0.43734366204658587 and parameters: {'window_ms': 85, 'overlap': 0.55, 'freq_low_hz': 500, 'freq_high_hz': 3300, 'epsilon': 0.24564306299351668, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:31:21,052] Trial 41 finished with value: 0.41139296468862724 and parameters: {'window_ms': 90, 'overlap': 0.55, 'freq_low_hz': 1100, 'freq_high_hz': 3000, 'epsilon': 0.25330516585781226, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
