acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.375,29.246911562376976,,,0.0,3000,200,17.03125,42.46875,,0.875,480,0.5,,0.5625,0.7638225900300313,COMPLETE,0,0.3388535541908553,30
0.46875,22.395918119994544,,,0.0,2800,900,17.78125,36.84375,,0.875,3760,0.55,,0.5625,1.3073335378139745,COMPLETE,1,0.3609966663991058,235
0.4375,25.37174779035729,,,0.0,4100,250,20.78125,38.46875,,0.8125,3680,0.45,,0.59375,1.9884508743707556,COMPLETE,2,0.3610444506232386,230
0.40625,22.00832140208562,,,0.0,2900,400,18.59375,38.28125,,0.875,3120,0.8,,0.5625,2.3213662346825004,COMPLETE,3,0.3469114509754085,195
0.375,31.501100551210904,,,0.0,4700,350,16.40625,43.53125,,0.9375,1440,0.8500000000000001,,0.53125,4.440305262221955,COMPLETE,4,0.33094144244263307,90
0.125,28.581964784414314,,,0.0,5700,500,2.09375,66.21875,,0.5625,880,0.35,,0.71875,1.5488548990397248,COMPLETE,5,0.33309559621876056,55
0.34375,29.83129648540271,,,0.0,2200,350,7.4375,40.875,,0.75,1760,0.6000000000000001,,0.625,0.9759239912091289,COMPLETE,6,0.35054742292014396,110
0.09375,22.654590456461577,,,0.0,5900,100,1.375,63.4375,,0.375,560,0.35,,0.8125,1.4300185177999083,COMPLETE,7,0.3581820121897214,35
0.46875,18.62644184855229,,,0.0,2500,750,14.40625,33.53125,,0.8125,3600,0.3,,0.59375,1.0559800437476952,COMPLETE,8,0.37054812847717616,225
0.1875,30.115775947790222,,,0.0,5800,300,0.84375,63.46875,,0.5,2480,0.3,,0.75,1.9387831007770728,COMPLETE,9,0.3645266149072562,155
0.375,23.221231361353343,,,0.0,5300,1000,21.65625,49.53125,,0.6875,3280,0.8500000000000001,,0.65625,4.713574869761942,COMPLETE,10,0.36191571412896767,205
0.40625,27.558389716200764,,,0.0,5100,1100,20.25,39.9375,,0.875,480,0.4,,0.5625,0.8583571764465887,COMPLETE,11,0.34593655600939976,30
0.46875,28.50212437257967,,,0.0,3900,650,21.8125,34.8125,,0.875,2800,0.75,,0.5625,2.3455810156010557,COMPLETE,12,0.3605391398575853,175
0.40625,25.84235183642348,,,0.0,3100,650,17.03125,40.09375,,0.8125,3440,0.9,,0.59375,4.0614558745292015,COMPLETE,13,0.3542109212480266,215
0.3125,27.518867817145022,,,0.0,1600,600,3.21875,44.71875,,0.625,3840,0.45,,0.6875,0.7142006144858897,COMPLETE,14,0.36449336485648454,240
0.40625,26.007041564497488,,,0.0,3300,550,18.96875,40.28125,,0.875,2000,0.8,,0.5625,2.391897482360946,COMPLETE,15,0.346116994512815,125
0.4375,29.2318152607309,,,0.0,1800,550,1.03125,41.40625,,0.6875,3360,0.45,,0.65625,0.7509589139663149,COMPLETE,16,0.3942375118427409,210
0.34375,30.170284946450206,,,0.0,3100,350,11.0625,46.1875,,0.875,3120,0.25,,0.5625,1.035791758360574,COMPLETE,17,0.33247358828848167,195
0.34375,29.924906014890006,,,0.0,1700,850,0.6875,40.875,,0.6875,3680,0.4,,0.65625,0.5773128012078814,COMPLETE,18,0.37766917766540026,230
0.4375,29.552769936801187,,,0.0,4100,850,17.65625,39.28125,,0.8125,2880,0.8,,0.59375,2.959031685430091,COMPLETE,19,0.3608873993739853,180
0.4375,26.389047651203708,,,0.0,4100,800,19.65625,37.46875,,0.875,2720,0.25,,0.5625,1.225984768156195,COMPLETE,20,0.3534256543562415,170
0.3125,27.46446567839979,,,0.0,1600,750,2.75,46.5,,0.625,2880,0.7,,0.6875,0.6741746606421657,COMPLETE,21,0.3654365013018696,180
0.25,22.299957083759153,,,0.0,1500,800,6.59375,50.03125,,0.5625,2880,0.65,,0.71875,0.5221170126169454,COMPLETE,22,0.3548963525166295,180
0.3125,27.392331842141516,,,0.0,1600,800,2.25,46.5625,,0.625,2400,0.65,,0.6875,0.5796827645390294,COMPLETE,23,0.3670745829430712,150
