completed_loops,method,worker_pid
25,GMDA,4139831
22,GMDA,4140187
25,GMDA,4140670
27,GMDA,4139928
35,GMDA,4140186
34,GMDA,4140573
31,GMDA,4140412
28,GMDA,4140121
