acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.375,12.412181752591888,,,0.0,4300,750,5.796875,47.578125,5.995490168354685,0.0,1840,0.9,97,1.0,1.9496151246712543,COMPLETE,21,0.4790342217444265,115
0.28125,13.548226576175017,,,0.0,4000,500,3.390625,47.703125,5.825706859076334,0.0,1920,0.8500000000000001,92,1.0,2.906947785348166,COMPLETE,22,0.4612693033125625,120
0.25,13.321556485167191,,,0.0,4000,550,2.75,50.78125,5.904116663543171,0.0,1760,0.45,90,1.0,1.2014944225084037,COMPLETE,23,0.4556497583290322,110
0.28125,14.044841343332259,,,0.0,4300,550,2.953125,47.203125,5.681212130660396,0.0,1680,0.8,91,1.0,2.599283827643376,COMPLETE,24,0.46220531790852426,105
0.3125,14.100642715848103,,,0.0,3800,600,3.6875,47.875,5.53684226456827,0.0,1440,0.8,91,1.0,2.3681059330992866,COMPLETE,25,0.46739478156285486,90
0.21875,12.972166342187224,,,0.0,3700,550,1.953125,49.921875,5.718431523998246,0.0,1040,0.8,90,1.0,2.6125604775443207,COMPLETE,26,0.4518556030349327,65
0.21875,12.860732385832467,,,0.0,3600,550,1.90625,49.75,5.202910932329753,0.0,1040,0.8,90,1.0,2.5796280021604616,COMPLETE,27,0.45212854649865986,65
0.3125,13.912665303937095,,,0.0,4700,600,4.578125,47.796875,5.790062464319304,0.0,960,0.8,90,1.0,3.2498251291399356,COMPLETE,28,0.46609222866924804,60
0.3125,14.008219894382547,,,0.0,4700,600,4.484375,47.953125,5.5707326665783015,0.0,1040,0.8,90,1.0,3.1845895255100913,COMPLETE,29,0.4661695680446416,65
0.3125,15.325855145390749,,,0.0,3400,900,5.875,49.53125,5.143223643024504,0.0,960,0.8,87,1.0,2.6941038516524713,COMPLETE,30,0.4641802540904742,60
0.34375,21.06504412490928,,,0.0,4700,1000,9.421875,53.484375,3.0790072857707154,0.0,960,0.7,87,1.0,2.658760362683097,COMPLETE,31,0.4676884798934013,60
0.40625,18.98909406368232,,,0.0,4800,900,7.921875,50.953125,2.788164766424178,0.0,2240,0.7,86,1.0,2.832876260683406,COMPLETE,32,0.4826344353950972,140
0.40625,14.61912275069883,,,0.0,4800,950,6.125,48.9375,5.027689255684735,0.0,2320,0.65,94,1.0,1.346678050380433,COMPLETE,33,0.484837989410745,145
0.375,15.920333892541327,,,0.0,4800,900,4.53125,47.375,6.383832374758888,0.0,2240,0.7,94,1.0,1.4550342067086603,COMPLETE,34,0.47947921812052596,140
0.21875,16.338909417017405,,,0.0,2700,1050,4.15625,58.65625,6.436465174139544,0.0,2320,0.7,52,1.0,4.004258505447069,COMPLETE,35,0.44437181190597935,145
0.21875,16.93639727729528,,,0.0,3000,1000,4.390625,59.015625,3.215966649494304,0.0,2320,0.65,51,1.0,4.402774612070061,COMPLETE,36,0.4438891414920081,145
0.34375,14.620049576159962,,,0.0,2800,1000,3.953125,49.328125,3.39940051212559,0.0,2480,0.5,86,1.0,1.109118870983366,COMPLETE,37,0.4735028084946754,155
0.375,14.145165017042928,,,0.0,5100,1000,5.109375,47.453125,3.479725727697339,0.0,2400,0.65,94,1.0,1.401756823703181,COMPLETE,38,0.4792005260575697,150
0.375,14.857920867335379,,,0.0,2900,1050,6.09375,48.0625,7.969195744081316,0.0,2320,0.65,94,1.0,0.8505639786308166,COMPLETE,39,0.4780370143477898,145
