acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.25,12.830589364386189,,,0.0,3000,500,2.46875,52.90625,3.0,0.0,480,0.5,80,1.0,3.4844070720137097,COMPLETE,0,0.45643495884428,30
0.3125,12.656124613576424,,,0.0,1600,800,3.296875,51.609375,7.61147238727013,0.0,3200,0.75,83,1.0,2.6271485764882527,COMPLETE,1,0.46815512962948697,200
0.25,13.470308784508248,,,0.0,2800,400,1.6875,52.5625,1.7418722277618732,0.0,2880,0.65,76,1.0,5.352170609199675,COMPLETE,2,0.45963107595676067,180
0.21875,18.302144843142706,,,0.0,3900,950,5.8906249999999964,56.671875,6.855193101176026,0.0,3840,0.3,68,1.0,4.658394856087398,COMPLETE,3,0.4422402938224671,240
0.1875,15.908306595926552,,,0.0,3500,200,3.8125,57.8125,5.9050084186402785,0.0,2320,0.55,64,1.0,7.8350626376632135,COMPLETE,4,0.43821119643421175,145
0.25,19.061468978265424,,,0.0,4300,1050,9.578125,58.296875,3.9039231091297997,0.0,1520,0.6000000000000001,62,1.0,9.501439346320694,COMPLETE,5,0.44683148492082697,95
0.1875,15.7420304737826,,,0.0,1900,600,0.1875,55.34375,5.7707068269066,0.0,880,0.45,59,1.0,3.3835335437615868,COMPLETE,6,0.46384246445619526,55
0.34375,13.565514857880444,,,0.0,5700,1050,6.234375,48.578125,7.791705371976339,0.0,2960,0.65,94,1.0,3.2080398186226375,COMPLETE,7,0.47132453230645993,185
0.375,14.292417337853491,,,0.0,4900,650,6.546875,49.203125,3.2940144720004834,0.0,3680,0.65,91,1.0,4.164169145427877,COMPLETE,8,0.47769944377809287,230
0.34375,14.167378007569894,,,0.0,4000,600,6.171875,49.796875,6.557954306883772,0.0,3600,0.25,91,1.0,2.0302531205525156,COMPLETE,9,0.4710640755832419,225
0.21875,16.26729848499744,,,0.0,5200,100,7.25,58.1875,2.954064880290627,0.0,1520,0.35,74,1.0,6.19227723844233,COMPLETE,10,0.4415168989786748,95
0.3125,15.231001228990172,,,0.0,4200,900,3.4687499999999964,48.53125,0.6432378128687841,0.0,3440,0.75,87,1.0,5.617597710399423,COMPLETE,11,0.4674544609112658,215
0.1875,11.838884224769664,,,0.0,2100,150,0.375,56.65625,6.44708383442273,0.0,1360,0.45,66,1.0,4.125645591615466,COMPLETE,12,0.46021746442218836,85
0.28125,19.55590943295658,,,0.0,4600,750,8.65625,54.25,1.2550616830386445,0.0,240,0.3,72,1.0,4.933824798325077,COMPLETE,13,0.4543661277440762,15
0.3125,14.910925301917894,,,0.0,1900,950,6.421875,50.171875,5.984105711319946,0.0,1680,0.65,85,1.0,2.1061233254440594,COMPLETE,14,0.46377306286221265,105
0.21875,18.763198479670255,,,0.0,3900,950,7.8125,57.59375,2.3918442840152867,0.0,2960,0.6000000000000001,63,1.0,8.210070633649593,COMPLETE,15,0.4408199529216006,185
0.1875,15.258634530467496,,,0.0,2300,350,0.26562500000000355,56.234375,3.6487181573279064,0.0,1200,0.8500000000000001,63,1.0,13.093766058620531,COMPLETE,16,0.46178689031862996,75
0.28125,18.65715947322569,,,0.0,5300,1200,5.953124999999993,62.17187499999999,0.6974898041666324,0.0,1920,0.8500000000000001,52,1.0,36.50473400222836,COMPLETE,17,0.45542908079044203,120
0.40625,14.05186229595121,,,0.0,5500,1200,5.609375,47.359375,4.208579986133672,0.0,2560,0.8500000000000001,98,1.0,2.5339802491944283,COMPLETE,18,0.4856167812823177,160
0.40625,14.00903029076246,,,0.0,5600,1200,4.03125,45.78125,4.232122446936655,0.0,2560,0.8500000000000001,98,1.0,2.522129425633466,COMPLETE,19,0.48773572958160927,160
0.34375,11.270120895536126,,,0.0,5700,750,4.53125,45.3125,4.637775986479264,0.0,2640,0.9,98,1.0,3.752275993814692,COMPLETE,20,0.47422429858157766,165
0.40625,14.79650375722252,,,0.0,6000,1200,5.2812500000000036,47.28124999999999,4.417677286041742,0.0,2720,0.9,98,1.0,3.9303932465263642,COMPLETE,21,0.4857550602857163,170
0.34375,13.714077720881384,,,0.0,5950,1150,6.359375,48.359375,4.844926362792499,0.0,2720,0.9,97,1.0,5.154235416150186,COMPLETE,22,0.4712158444494229,170
0.375,13.608361400256836,,,0.0,5850,1150,4.4062499999999964,45.9375,4.661145981637966,0.0,2400,0.9,98,1.0,3.5715346206561662,COMPLETE,23,0.4803975587920463,150
0.34375,18.66935129388204,,,0.0,5950,1150,5.734375,62.26562499999999,4.846549642740864,0.0,2400,0.9,50,1.0,66.3624377383967,COMPLETE,24,0.46935701781117717,150
0.3125,19.89390192959579,,,0.0,5250,1150,10.390624999999993,57.98437499999999,4.7031167173124935,0.0,2160,0.9,53,1.0,52.408258147974266,COMPLETE,25,0.46021940379264326,135
0.3125,18.31297327673404,,,0.0,6000,1200,3.484375,64.359375,4.9478103867868795,0.0,2080,0.8,51,1.0,32.132899651885964,COMPLETE,26,0.46536658778154744,130
0.3125,18.28057557516653,,,0.0,6000,1100,3.421875,64.328125,5.177678017471965,0.0,1840,0.8,52,1.0,32.11797763308277,COMPLETE,27,0.46550007951081285,115
0.28125,19.80056817366613,,,0.0,5300,1200,10.25,57.875,5.02012275397297,0.0,2080,0.8,52,1.0,27.68483555148123,COMPLETE,28,0.4534106335473232,130
0.28125,18.749316393788202,,,0.0,5300,1200,5.890625,62.265625,3.8376507232513295,0.0,2000,0.8,50,1.0,28.53461864683777,COMPLETE,29,0.4554599800857575,125
0.28125,18.63915150295206,,,0.0,5300,1200,5.906249999999993,62.18749999999999,5.242675249088963,0.0,2000,0.8,51,1.0,26.957231526263058,COMPLETE,30,0.45546975148992436,125
0.375,22.75673299233383,,,0.0,5300,1100,10.421874999999996,52.984375,4.246998585477411,0.0,2240,0.8,90,1.0,5.84425952041056,COMPLETE,31,0.4740848153107378,140
0.375,19.96348595522273,,,0.0,4900,1100,9.984374999999996,53.484375,5.312637576009493,0.0,2320,0.75,90,1.0,4.368673149176175,COMPLETE,32,0.47450982143908504,145
0.40625,20.74636992908338,,,0.0,4900,1050,9.296874999999996,52.609375,5.351182494090239,0.0,2400,0.75,91,1.0,4.2217484828142915,COMPLETE,33,0.481614791068956,150
0.375,19.55541005706606,,,0.0,4800,1050,10.28125,53.9375,4.195399310541269,0.0,2480,0.75,90,1.0,4.581041488825576,COMPLETE,34,0.4744253968044967,155
0.375,19.900141331156423,,,0.0,4800,1000,7.03125,50.5625,4.254522086765206,0.0,2400,0.75,90,1.0,4.9048627534357365,COMPLETE,35,0.476169520549348,150
0.40625,20.887668077944344,,,0.0,4800,1050,5.984375,49.765625,2.7025112956825663,0.0,3280,0.7,90,1.0,3.8711912984144874,COMPLETE,36,0.4837528496102265,205
0.375,15.123450333835864,,,0.0,3400,850,5.5000000000000036,48.75,2.719990036806907,0.0,3280,0.7,94,1.0,2.020851535606198,COMPLETE,37,0.47840528476832106,205
0.375,15.923032649278845,,,0.0,5600,1050,5.0624999999999964,47.8125,4.3852269372493,0.0,2560,0.8500000000000001,94,1.0,4.908459729311289,COMPLETE,38,0.47878936867469934,160
0.375,15.01922595999874,,,0.0,5600,1000,4.71875,47.46875,4.198035736502242,0.0,3280,0.8500000000000001,94,1.0,5.18879148727865,COMPLETE,39,0.4794295899685902,205
0.375,13.624426593438717,,,0.0,5600,1000,5.65625,48.3125,3.4547287047037814,0.0,3200,0.8500000000000001,94,1.0,5.2417526827484835,COMPLETE,40,0.47869576482075155,200
0.34375,14.720043732951343,,,0.0,5600,1000,4.7187499999999964,46.9375,3.539268733647933,0.0,3120,0.8500000000000001,95,1.0,4.781788950727787,COMPLETE,41,0.4726944674250159,195
0.40625,25.11619481903061,,,0.0,5600,1000,10.71875,53.46875,2.405393012878602,0.0,3200,0.8500000000000001,82,1.0,15.838152280572103,COMPLETE,42,0.4805935036429192,200
0.375,21.439959771417485,,,0.0,5700,850,13.65625,56.8125,1.8704012485857753,0.0,3120,0.8500000000000001,81,1.0,16.991461084020557,COMPLETE,43,0.47309220186142414,195
0.375,24.047377553228127,,,0.0,5600,850,10.093749999999996,53.15625,1.9493666292898295,0.0,3120,0.7,81,1.0,9.412112370046088,COMPLETE,44,0.4740406209928754,195
0.3125,19.78564327201671,,,0.0,4600,450,5.90625,50.65625,3.309951647394258,0.0,3040,0.9,83,1.0,19.27277158567449,COMPLETE,45,0.4632360855083004,190
0.375,22.843899623313007,,,0.0,4550,1150,8.156249999999996,53.0,2.09359002858299,0.0,4000,0.7,78,1.0,7.514253344619647,COMPLETE,46,0.4749405231474169,250
0.34375,19.441091910885564,,,0.0,4500,450,5.90625,50.53125,2.2348710425982294,0.0,2800,0.55,83,1.0,4.971939411363564,COMPLETE,47,0.4701738292719361,175
0.40625,22.487968788540577,,,0.0,4950,1150,8.453124999999996,52.390625,7.172696291683461,0.0,2960,0.7,87,1.0,5.746311463735765,COMPLETE,48,0.48177986826948055,185
0.375,23.52537173424418,,,0.0,5100,1100,10.140625,53.515625,3.0095839282323307,0.0,2960,0.7,86,1.0,6.41466713976115,COMPLETE,49,0.47403991839016196,185
0.375,21.765479181133944,,,0.0,5000,1100,9.171875,52.734375,7.2389725783210785,0.0,2880,0.9,87,1.0,15.188701177219627,COMPLETE,50,0.47465099938017874,180
0.40625,21.97298923358802,,,0.0,5000,1100,8.734375,52.796875,5.607416085424162,0.0,2960,0.7,87,1.0,5.954911108652595,COMPLETE,51,0.48167244422903,185
0.34375,22.12420549420928,,,0.0,5100,1100,9.062499999999996,52.125,7.597511573680929,0.0,3520,0.5,86,1.0,4.207076110818889,COMPLETE,52,0.46784189784319496,220
0.375,21.556922965357906,,,0.0,5100,1100,9.578124999999996,52.640625,7.382240762149643,0.0,3520,0.5,85,1.0,4.213618763780687,COMPLETE,53,0.4745341017421698,220
0.34375,22.12420549420928,,,0.0,5100,1100,9.062499999999996,52.125,7.376986575581503,0.0,3520,0.5,86,1.0,4.03964001784334,COMPLETE,54,0.46784189784319496,220
0.28125,12.369316876852983,,,0.0,4200,250,7.1875,49.125,7.210305918632191,0.0,3520,0.45,96,1.0,1.7242173076374456,COMPLETE,55,0.4572334218305529,220
0.28125,11.44035995664035,,,0.0,3600,250,7.9375,48.84375,7.440494564633602,0.0,3680,0.6000000000000001,96,1.0,2.245393958350178,COMPLETE,56,0.4571923448224844,230
0.40625,14.287086813251157,,,0.0,3550,1150,2.859375,46.328125,1.1304629820797205,0.0,3760,0.9,92,1.0,6.189484448172152,COMPLETE,57,0.49000297934547055,235
0.375,14.34813216012367,,,0.0,3550,1150,6.234375,49.390625,5.804205555084136,0.0,2800,0.6000000000000001,92,1.0,2.5529661270265933,COMPLETE,58,0.4778919165209971,175
0.34375,22.353816569757726,,,0.0,5450,1150,9.234375,51.859375,5.7724409171433955,0.0,2800,0.65,88,1.0,5.173705405468354,COMPLETE,59,0.4677780061651529,175
0.40625,21.401020118428352,,,0.0,4650,1150,9.046874999999996,52.703125,5.626543920552048,0.0,2800,0.55,88,1.0,3.318582552165026,COMPLETE,60,0.481621054023257,175
0.375,16.317976810484204,,,0.0,3050,1150,4.125,48.53125,5.761743871805744,0.0,2800,0.65,88,1.0,2.8666502184642013,COMPLETE,61,0.47982626832534,175
0.3125,20.987324113318973,,,0.0,5850,1150,12.71875,57.09375,5.64812785289239,0.0,2800,0.65,70,1.0,11.61075430305209,COMPLETE,62,0.45955862926649593,175
0.3125,21.071956334189764,,,0.0,5800,1200,12.96875,57.0625,7.995957705681462,0.0,2640,0.7,72,1.0,11.89452627551509,COMPLETE,63,0.4594987623477982,165
