acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.3125,28.329534058999275,,,0.0,2800,650,7.0,51.25,,0.8125,1040,0.7,,0.59375,2.02783701766748,COMPLETE,38,0.3346192428544924,65
0.40625,18.26497673143878,,,0.0,2600,800,14.5,33.375,,0.8125,3120,0.7,,0.59375,2.5107879949500784,COMPLETE,39,0.3568792744698228,195
0.40625,22.481589690233207,,,0.0,2700,700,18.125,37.25,,0.875,4000,0.7,,0.5625,3.1937072036089376,COMPLETE,40,0.34711483379520164,250
0.53125,22.281841682185966,,,0.0,2800,850,18.0625,36.5625,,0.875,4000,0.75,,0.5625,2.83316727966303,COMPLETE,41,0.37478716521950267,250
0.46875,22.258688612539597,,,0.0,2700,700,18.1875,37.1875,,0.875,3920,0.8500000000000001,,0.5625,4.759229278250132,COMPLETE,42,0.3608953454919077,245
0.4375,29.20556186328214,,,0.0,2600,700,14.1875,40.5625,,0.8125,4000,0.8500000000000001,,0.59375,4.6400931738025974,COMPLETE,43,0.36117007565872444,250
0.46875,22.469749630058185,,,0.0,2800,700,18.09375,37.15625,,0.875,4000,0.75,,0.5625,3.6615851080568973,COMPLETE,44,0.3608888165333321,250
0.34375,27.133351248970335,,,0.0,1800,350,2.375,44.625,,0.625,3200,0.8500000000000001,,0.6875,3.688282534771133,COMPLETE,45,0.37378104822743163,200
0.375,28.87390081782335,,,0.0,2700,350,14.46875,41.65625,,0.8125,3120,0.8500000000000001,,0.59375,5.139847718324745,COMPLETE,46,0.3472091642674119,195
0.46875,28.586201189341338,,,0.0,1800,100,0.03125,47.59375,,0.6875,3200,0.8500000000000001,,0.65625,4.256184520549141,COMPLETE,47,0.4193505957586744,200
0.46875,31.257608448784115,,,0.0,1800,800,4.28125,36.96875,,0.75,3120,0.8500000000000001,,0.625,2.3626653276151046,COMPLETE,48,0.38153165393358607,195
0.375,28.669724885321102,,,0.0,1800,700,2.0,43.25,,0.6875,1840,0.8500000000000001,,0.65625,1.9983188374317251,COMPLETE,49,0.3738713689044121,115
0.40625,28.261042504435324,,,0.0,1800,150,0.09375,47.34375,,0.6875,3280,0.8500000000000001,,0.65625,3.820651748625096,COMPLETE,50,0.4034386067696847,205
0.34375,27.133351248970335,,,0.0,1800,350,2.375,44.625,,0.625,3200,0.8500000000000001,,0.6875,3.3500769255915657,COMPLETE,51,0.37378104822743163,200
0.375,27.174763539679606,,,0.0,1700,350,2.59375,45.40625,,0.625,3600,0.8500000000000001,,0.6875,3.239478774514282,COMPLETE,52,0.379820800437072,225
0.34375,27.133351248970335,,,0.0,1800,350,2.375,44.625,,0.625,3200,0.8500000000000001,,0.6875,3.638821341563016,COMPLETE,53,0.37378104822743163,200
0.4375,30.06306847175617,,,0.0,1800,150,1.34375,40.71875,,0.6875,3600,0.8500000000000001,,0.65625,3.4463280143681914,COMPLETE,54,0.39167534320177305,225
0.4375,27.59189192498405,,,0.0,1800,950,3.0625,36.375,,0.75,3680,0.3,,0.625,1.151248215493979,COMPLETE,55,0.37729283529039925,230
0.40625,30.578536181445966,,,0.0,1800,950,0.0625,39.125,,0.6875,3600,0.8500000000000001,,0.65625,2.3042350817704573,COMPLETE,56,0.40563483018873103,225
