completed_loops,method,worker_pid
36,GMDA,2109993
61,GMDA,2109987
44,GMDA,2110000
53,GMDA,2109995
49,GMDA,2109989
50,GMDA,2109985
45,GMDA,2109999
42,GMDA,2109991
