acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.3125,18.56607709641431,8,0.1,0.0,3000,200,2.6249999999999893,62.187500000000014,,0.3125,480,0.5,,0.84375,3.919987029454205,COMPLETE,0,0.41090236058967594,30
0.3125,11.784150836504953,2,0.25886037014175123,0.0,5400,1100,6.96875,57.78125,,0.1875,3600,0.65,,0.90625,28.0025730690395,COMPLETE,1,0.4277442190163543,225
0.34375,19.2321091780777,12,0.40879030166697367,0.0,3100,600,4.218749999999993,60.59375000000001,,0.3125,2160,0.6000000000000001,,0.84375,3.807097741519101,COMPLETE,2,0.41442944918377284,135
0.28125,18.542602972614183,4,0.43525012788871037,0.0,1900,100,3.75,64.0,,0.25,1600,0.6000000000000001,,0.875,5.926580159808509,COMPLETE,3,0.4114816526161281,100
0.34375,19.58146046008827,6,0.42061425322791046,0.0,5000,450,4.3749999999999964,60.56250000000001,,0.3125,2880,0.65,,0.84375,11.070214399020188,COMPLETE,4,0.41415877335501444,180
0.28125,18.455579059934706,15,0.13925289528359278,0.0,2400,100,4.093749999999993,63.40625000000001,,0.25,1920,0.25,,0.875,2.1065646568895318,COMPLETE,5,0.41096964208008435,120
0.375,12.442013942183973,2,0.22140163931768203,0.0,4000,1200,8.28125,56.46875,,0.25,720,0.65,,0.875,17.47680515758111,COMPLETE,6,0.42999360954994387,45
0.34375,13.11454196445687,2,0.09522907680229982,0.0,5400,650,9.78125,57.96875,,0.25,640,0.6000000000000001,,0.875,23.45907289412571,COMPLETE,7,0.4221735202775185,40
0.3125,11.794091145039554,2,0.3525170810659767,0.0,3500,750,6.53125,58.03125,,0.1875,2160,0.55,,0.90625,14.005358262103982,COMPLETE,8,0.42801055378196284,135
0.3125,19.501176847500773,6,0.2891018893235179,0.0,4300,450,4.2812499999999964,60.59375000000001,,0.3125,2880,0.6000000000000001,,0.84375,7.8896541246795096,COMPLETE,9,0.40742482123119783,180
0.34375,19.439007176293757,6,0.3479557853182075,0.0,2400,550,3.124999999999993,61.50000000000001,,0.25,3680,0.75,,0.875,6.7379674873373006,COMPLETE,10,0.426557533028519,230
0.34375,19.42832882513316,11,0.3651193738172424,0.0,4500,1100,4.21875,60.78125000000001,,0.3125,1520,0.9,,0.84375,17.64852960241842,COMPLETE,11,0.41438618208951733,95
0.3125,12.226859521152607,3,0.3020491831157347,0.0,2000,100,7.749999999999993,60.06250000000001,,0.1875,3200,0.8,,0.90625,14.732616370543838,COMPLETE,12,0.42694828330794465,200
0.3125,19.453043423523738,16,0.12348503037701718,0.0,5600,1000,4.28125,60.59375000000001,,0.3125,3680,0.25,,0.84375,2.7575501373794395,COMPLETE,13,0.4074317087258458,230
0.40625,13.012463976895392,7,0.3207493307945848,0.0,5600,800,9.812499999999993,55.06250000000001,,0.1875,3280,0.75,,0.90625,13.781869483093033,COMPLETE,14,0.44688512628927035,205
0.3125,12.101781893589074,1,0.021769774624830596,0.0,4300,1200,7.9999999999999964,59.62500000000001,,0.1875,160,0.8500000000000001,,0.90625,83.79464052375988,COMPLETE,15,0.426900059384715,10
0.34375,12.53604178957618,2,0.22511728778006876,0.0,4000,1200,8.187499999999996,56.56250000000001,,0.1875,1280,0.9,,0.90625,55.67081712119398,COMPLETE,16,0.43380070988862596,80
0.3125,7.902728959036874,1,0.2124403158316476,0.0,4100,900,2.5624999999999964,62.25000000000001,,0.125,1200,0.9,,0.9375,127.36556128607481,COMPLETE,17,0.4468773263811968,75
